Global Rank,Company,Sales ($billion),Profits ($billion),Assets ($billion),Market Value ($billion)
332,Maybank,9.1,1.9,161.4,24.3
467,CIMB Group Holdings,6.3,1.4,110.2,16.8
516,Tenaga Nasional,11.5,1.3,28.3,12.6
542,Sime Darby,15,1.3,14.9,17.3
594,Public Bank,4.2,1.3,89.8,18
725,Genting,5.6,1.4,21.5,11.6
807,Axiata Group,5.8,0.8,14,17.2
941,Petronas Chemicals,5.4,1.2,8.3,16.3
973,RHB Capital,2,0.6,61.8,6.8
1125,AmBank Group,2.1,0.5,36.4,6.1
1260,Maxis,2.9,0.6,5.8,15.6
1261,YTL,6.4,0.4,16.3,5.6
1302,Hong Leong Financial,2.3,0.4,53.6,4.8
1317,IOI Group,4.9,0.6,7.2,9.6
1450,Petronas Gas,1.2,0.5,4.4,11.8
1496,Petronas Dagangan,9.6,0.3,3.2,7.4
1823,DRB-Hicom,2.2,0.4,12.9,1.5
1842,MISC,3.1,0.2,12.2,7.4
1858,Kuala Lumpur Kepong,3.3,0.4,3.7,6.9
1961,Telekom Malaysia,3.2,0.4,7.3,6.1
1970,AMMB Holdings,1.1,0.3,33.1,3.1